19.14,7.68
20.83,7.68
18.11,7.13
18.14,7.13
18.54,7.13
18.74,6.58
17.49,6.03
17.74,7.13
16.74,6.58
17.94,7.13
17.43,7.13
17.14,6.58
16.23,6.03
16.60,6.03
16.26,6.03
14.09,6.58
13.49,6.03
14.34,7.13
12.89,7.68
11.80,6.03
11.09,6.58
12.66,7.13
12.11,6.03
10.11,6.58
9.54,4.39
10.37,6.03
10.43,6.03
7.83,4.94
7.49,6.03
4.54,6.58
5.17,6.03
4.89,4.94
6.74,6.03
-0.43,5.48
-30.14,11.52
-27.43,12.62
-26.74,13.16
-26.34,13.16
-27.17,13.71
-27.43,13.16
-26.66,13.71
-27.63,13.16
-27.03,14.26
-26.91,14.81
-25.60,13.71
-25.69,14.26
-25.51,15.36
-25.89,14.81
-25.34,14.26
-25.23,14.81
-24.80,14.81
-23.97,14.81
-23.34,15.36
-22.29,14.81
-20.77,15.91
-20.83,14.26
-20.60,13.16
-20.51,15.36
-15.29,14.26
-15.49,15.36
-19.51,15.91
-19.00,14.26
26.17,8.23
22.83,7.13
22.31,7.13
22.57,7.68
21.29,7.13
19.94,8.23
18.80,7.68
21.09,7.13
18.97,6.03
18.69,6.58
17.43,6.58
18.17,7.13
19.23,6.03
17.26,7.13
17.31,7.13
18.23,6.58
16.66,6.58
16.03,7.13
16.40,6.58
15.80,6.03
14.83,6.58
13.77,6.03
13.49,6.03
12.89,6.03
11.71,5.48
12.66,5.48
12.91,6.58
9.86,6.03
9.54,6.03
9.06,5.48
9.11,6.03
7.74,5.48
9.09,6.58
9.20,5.48
9.69,6.58
3.23,5.48
1.09,6.03
-25.29,12.62
-28.46,12.07
-28.60,13.16
-28.34,13.16
-27.63,14.26
-27.63,14.81
-28.29,14.81
-27.34,13.16
-27.29,13.71
-26.94,15.36
-26.57,15.36
-26.49,15.36
-26.46,16.45
-26.74,15.36
-24.89,15.36
-26.11,17.00
-26.23,16.45
-27.00,15.91
-24.71,15.91
-25.46,16.45
-25.43,15.91
-25.31,17.00
-24.46,17.00
-25.80,16.45
-24.46,17.55
-20.26,14.81
-23.23,17.55
-22.63,17.55
-21.83,15.91
